age;height;weight;male
42;157.48;50.178615;1
25;154.305;41.276872;0
6;107.95;17.57669;1
41;168.275;54.6;1
37;145.415;44.9906565;0
16;147.955;44.735511;0
5;100.965;14.401546;1
9;113.03;19.050864;1
82;149.225;35.8054185;1
28;154.94;45.2174525;1
50;162.56;48.1091015;1
43;156.845;45.6710445;0
8;123.19;20.808533;1
31;161.0106;48.420946;1
67;144.78;41.1918235;0
39;143.51;38.4135725;0
18;149.225;42.127357;0
11;110.49;17.6617385;0
48;149.86;38.2434755;0
30;165.735;48.3358975;1
64;144.145;38.9238635;0
72;157.48;40.029494;1
68;154.305;50.2069645;0
44;163.83;54.2892925;1
43;156.21;45.6;0
16;153.67;40.766581;0
13;134.62;27.1304715;0
34;144.145;39.4341545;0
10;114.3;20.4966885;0
62;162.56;43.204638;1
44;146.05;31.864838;0
11;120.65;20.8935815;1
31;154.94;45.4442485;1
29;144.78;38.045029;0
8;106.68;15.989118;0
62;146.685;36.0889135;0
67;152.4;40.879979;0
57;163.83;47.910655;1
32;165.735;47.7122085;1
24;156.21;46.379782;0
77;152.4;41.163474;1
62;140.335;36.5992045;0
17;158.115;43.09124;1
67;163.195;48.137451;1
70;151.13;36.7126025;0
37;171.1198;56.5572525;1
58;149.86;38.6970675;0
35;163.83;47.4854125;1
30;141.605;36.2023115;0
5;93.98;14.288148;0
26;149.225;41.276872;0
5;105.41;15.2236815;0
21;146.05;44.7638605;0
41;161.29;50.4337605;1
46;162.56;55.281525;1
49;145.415;37.931631;0
15;145.415;35.493574;1
28;170.815;58.456669;1
12;127;21.488921;0
83;159.385;44.4236665;0
54;159.4;44.4;1
54;153.67;44.565414;0
68;160.02;44.622113;1
68;150.495;40.483086;0
56;149.225;44.0834725;0
15;127;24.4089195;0
57;142.875;34.416293;0
22;142.113;32.772022;0
40;147.32;35.947166;0
19;162.56;49.5549;1
41;164.465;53.183662;1
75.9000000000001;160.02;37.081146;1
73.9000000000001;153.67;40.5114355;0
49;167.005;50.6038575;1
26;151.13;43.9700745;1
17;147.955;33.792604;0
13;125.3998;21.375523;0
8;111.125;16.669506;0
88;153.035;49.89;1
68;139.065;33.5941575;0
33;152.4;43.8566765;1
26;154.94;48.137451;0
56;147.955;42.751046;0
16;143.51;34.8415355;1
13;117.983;24.097075;0
34;144.145;33.906002;0
5;92.71;12.076887;0
17;147.955;41.276872;0
74;155.575;39.7176495;1
69;150.495;35.947166;0
50;155.575;50.915702;1
44;154.305;45.756093;0
15;130.6068;25.2594045;0
5;101.6;15.3370795;0
18;157.48;49.214732;0
41;168.91;58.8252125;1
27;150.495;43.4597835;0
8.90000000000009;111.76;17.8318355;1
38;160.02;51.9646335;1
57;167.64;50.688906;1
64.5;144.145;34.246196;0
42;145.415;39.3774555;0
24;160.02;59.5622995;1
16;147.32;40.312989;1
71;164.465;52.16308;1
49.5;153.035;39.972795;0
33;149.225;43.941725;1
28;160.02;54.601137;0
47;149.225;45.075705;0
3;85.09;11.453198;1
1;84.455;11.7650425;1
1;59.6138;5.896696;0
3;92.71;12.1052365;1
6;111.125;18.313777;0
5;90.805;11.3681495;0
27;153.67;41.333571;0
5;99.695;16.2442635;0
1;62.484;6.80388;0
2;81.915;11.8784405;1
2;96.52;14.968536;0
1;80.01;9.865626;1
55;150.495;41.900561;0
83.4000000000001;151.765;42.524;1
12;140.6398;28.859791;1
2;88.265;12.7856245;0
63;158.115;43.147939;1
52;149.225;40.82328;0
49;151.765;42.864444;1
31;154.94;46.209685;0
9;123.825;20.581737;0
6;104.14;15.87572;0
35;161.29;47.853956;1
35;148.59;42.52425;0
7;97.155;17.066399;0
5;93.345;13.1825175;1
24;160.655;48.5059945;1
41;157.48;45.869491;1
32;167.005;52.900167;1
43;157.48;47.570461;1
6;91.44;12.927372;0
1;60.452;5.6699;1
15;137.16;28.91649;1
63;152.4;43.544832;0
21;152.4;43.431434;0
1;81.28;11.509897;1
2;109.22;11.7083435;0
1;71.12;7.540967;1
3;89.2048;12.700576;0
1;67.31;7.200773;0
1;85.09;12.360382;1
1;69.85;7.7961125;0
55;161.925;53.2120115;0
38;152.4;44.678812;0
3;88.9;12.5588285;1
3;90.17;12.700576;1
1;71.755;7.37087;0
1;83.82;9.2135875;0
28;159.385;47.2019175;1
16;142.24;28.632995;0
36;142.24;31.6663915;0
38;168.91;56.4438545;1
12;123.19;20.014747;1
1;74.93;8.50485;1
1;74.295;8.3064035;0
3;90.805;11.623295;0
48;160.02;55.791816;1
1;67.945;7.9662095;0
15;135.89;27.21552;0
45;158.115;47.4854125;1
3;85.09;10.8011595;1
3;93.345;14.004653;0
38;152.4;45.1607535;0
21;155.575;45.529297;0
50;154.305;48.874538;0
41;156.845;46.5782285;1
13;120.015;20.128145;0
8;114.3;18.14368;1
3;83.82;10.9145575;1
30;156.21;43.885026;0
12;137.16;27.158821;1
7;114.3;19.050864;1
4;93.98;13.834556;0
21;168.275;56.0469615;1
38;147.955;40.086193;0
15;139.7;26.5634815;1
39;160.655;40.879979;1
19;157.48;50.802304;0
1;76.2;9.2135875;1
1;66.04;7.5693165;1
31;160.7;46.3;1
8;114.3;19.4194075;0
16;146.05;37.9032815;1
21;161.29;49.3564795;1
0;69.85;7.314171;0
13;133.985;28.1510535;1
0;67.945;7.824462;1
50;150.495;44.111822;0
39;163.195;51.0291;1
44;148.59;40.766581;1
36;148.59;37.5630875;0
36;161.925;51.59609;1
18;153.67;44.8205595;0
0;68.58;8.0229085;0
58;151.13;43.4030845;0
58;163.83;46.719976;1
33;153.035;39.5475525;0
21.5;151.765;34.7848365;0
11;132.08;22.792998;1
26;156.21;39.292407;1
22;140.335;37.4496895;0
28;158.75;48.6760915;1
42;142.875;35.606972;0
2;84.455;9.3836845;1
21;151.9428;43.714929;1
19;161.29;48.19415;1
13;127.9906;29.8520235;1
48;160.9852;50.972401;1
46;144.78;43.998424;0
11;132.08;28.292801;1
8;117.983;20.354941;1
25;160.02;48.19415;1
16;154.94;39.179009;1
51;160.9852;46.6916265;1
25;165.989;56.415505;1
28;157.988;48.591043;1
26;154.94;48.2224995;0
5;97.9932;13.2959155;1
1;64.135;6.6621325;0
54;160.655;47.4854125;1
66;147.32;35.550273;0
20;146.7;36.6;0
25;147.32;48.9595865;0
38;172.9994;51.255896;1
51;158.115;46.5215295;1
48;147.32;36.967748;0
13;124.9934;25.117657;1
6;106.045;16.272613;1
27;165.989;48.647742;1
22;149.86;38.045029;0
1;76.2;8.50485;0
60;161.925;47.286966;1
15;140.0048;28.3495;0
0;66.675;8.1363065;0
0;62.865;7.200773;1
43;163.83;55.394923;1
12;147.955;32.488527;1
27;160.02;54.204244;1
30;154.94;48.477645;1
29;152.4;43.0628905;0
0;62.23;7.257472;0
23;146.05;34.189497;0
30;151.9936;49.951819;0
17;157.48;41.3052215;1
0;55.88;4.8477645;0
0;60.96;6.23689;1
41;151.765;44.338618;0
42;144.78;33.45241;0
7;118.11;16.896302;0
3;78.105;8.221355;0
43;160.655;47.286966;1
35;151.13;46.1246365;0
10;121.92;20.184844;0
3;92.71;12.757275;1
75.5;153.67;47.400364;1
64;147.32;40.8516295;0
38;139.7;50.348712;1
24.2;157.48;45.132404;0
4;91.44;11.623295;0
26;154.94;42.240755;1
19;143.51;41.6454155;0
2;83.185;9.1568885;1
43;158.115;45.2174525;1
38;147.32;51.255896;0
10;123.825;21.205426;1
3;88.9;11.5949455;1
23;160.02;49.271431;1
16;137.16;27.952607;0
49;165.1;51.199197;1
41;154.94;43.8566765;0
6;111.125;17.690088;1
23;153.67;35.5219235;0
14;145.415;34.246196;0
43;141.605;42.88542;0
15;144.78;32.545226;0
21;163.83;46.776675;1
24;161.29;41.8722115;1
20;154.9;38.2;1
20;161.3;43.3;1
34;170.18;53.637254;1
29;149.86;42.977842;0
11;123.825;21.54562;1
3;85.09;11.4248485;0
65;160.655;39.7743485;1
46;154.94;43.3463855;0
8;106.045;15.478827;0
15;126.365;21.9141635;1
43;166.37;52.673371;1
39;148.2852;38.441922;0
12;124.46;19.27766;0
3;89.535;11.113004;1
4;101.6;13.494362;0
43;151.765;42.807745;0
70;148.59;35.890467;0
26;153.67;44.22522;0
0;53.975;4.252425;0
48;146.685;38.0733785;0
0;56.515;5.159609;0
5;100.965;14.3164975;1
8;121.92;23.2182405;1
3;81.5848;10.659412;0
44;154.94;44.111822;1
33;156.21;44.0267735;0
15;132.715;24.9759095;1
12;125.095;22.5945515;0
5;101.6;14.344847;0
41;160.655;47.8823055;1
37.4;146.05;39.405805;0
13;132.715;24.777463;0
6;87.63;10.659412;0
53;156.21;41.050076;1
49;152.4;40.82328;0
27;162.56;47.0318205;0
7;114.935;17.519991;1
1;67.945;7.2291225;0
31;142.875;34.246196;0
1;76.835;8.0229085;1
17;145.415;31.127751;1
31;162.56;52.16308;1
21;156.21;54.0624965;0
0;71.12;8.051258;1
68;158.75;52.5316235;1
